tconst,rating,seasonNumber
tt0165592,7.7,4
tt0159876,7.9,0
tt0277509,5.8,1
tt0072470,7.3,1
tt0069633,7.7,1
tt0202179,6.9,3
tt0762803,6.8,1
tt0165593,7.7,9
tt0165592,7.7,4
tt0164295,8.1,2
tt1466074,8.2,3
tt1466074,8.2,4
tt1466074,8.2,3
tt1466074,8.2,4
tt1466074,8.2,3
tt1466074,8.2,2
tt1466074,8.2,3
tt0277509,5.8,1
tt0165593,7.7,9
tt0165593,7.7,10
tt0200358,8.1,8
tt0277509,5.8,1
tt0070990,6.4,1
tt0199214,8.5,3
tt0071012,7.6,1
tt1049986,7,2
tt1049986,7,1
tt0165592,7.7,4
tt0071007,7.4,1
tt0071008,7.1,1
tt0806910,7.2,1
tt0164295,8.1,4
tt0071017,7.3,1
tt0164295,8.1,6
tt0202206,7.2,0
tt0164295,8.1,3
tt0969783,7.4,1
tt0165593,7.7,10
tt0071042,8.1,1
tt0165592,7.7,4
tt0063920,7.9,6
tt0071056,8.7,1
tt0165593,7.7,9
tt0072567,7,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0072576,7.8,1
tt0165593,7.7,10
tt0849411,6,0
tt0202206,7.2,0
tt0165592,7.7,6
tt0165593,7.7,10
tt1614886,9,1
tt0072471,6.8,1
tt1614886,9,1
tt0072478,7,1
tt0165592,7.7,5
tt0762803,6.8,2
tt0072481,7.2,1
tt1614886,9,1
tt0159876,7.9,0
tt1466074,8.2,5
tt1466074,8.2,4
tt1466074,8.2,4
tt1466074,8.2,5
tt1466074,8.2,5
tt1466074,8.2,4
tt1466074,8.2,4
tt0071325,6.4,1
tt0072496,8.4,1
tt1049986,7,2
tt0165592,7.7,5
tt0159876,7.9,0
tt0165592,7.7,5
tt0312084,8,3
tt0165592,7.7,5
tt0065296,7.9,0
tt1049986,7,2
tt1049986,7,3
tt1614886,9,1
tt0072515,6.8,1
tt0259806,5.6,6
tt1049986,7,2
tt0072526,6.1,1
tt0165593,7.7,10
tt0806910,7.2,1
tt0165593,7.7,11
tt0165593,7.7,11
tt0072542,4.6,1
tt0165592,7.7,6
tt0762803,6.8,2
tt0074074,7.1,1
tt0298685,6.3,1
tt0071325,6.4,1
tt0259806,5.6,4
tt0075471,8.3,1
tt1614886,9,1
tt0165592,7.7,6
tt1049986,7,2
tt0165593,7.7,10
tt0071054,7.1,3
tt0071325,6.4,1
tt1049986,7,2
tt0165593,7.7,10
tt1049986,7,2
tt0072574,7.3,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0165592,7.7,6
tt1049986,7,2
tt0165592,7.7,6
tt0164295,8.1,4
tt0806910,7.2,1
tt0806910,7.2,1
tt0159876,7.9,0
tt0073961,7.7,1
tt0165592,7.7,7
tt0165592,7.7,7
tt0762803,6.8,3
tt0073972,6.5,1
tt0165593,7.7,11
tt0167732,6.4,1
tt1466074,8.2,5
tt1466074,8.2,6
tt1466074,8.2,5
tt1466074,8.2,5
tt1466074,8.2,6
tt0165592,7.7,6
tt0762803,6.8,4
tt0165592,7.7,6
tt0165593,7.7,11
tt0075510,6,1
tt0073994,6.6,1
tt0165592,7.7,6
tt0075517,6.6,1
tt1049986,7,3
tt1043199,8.1,1
tt0762803,6.8,3
tt0165592,7.7,6
tt0075523,6.2,1
tt0259806,5.6,7
tt0075524,5.8,1
tt0762803,6.8,4
tt0165593,7.7,11
tt0762803,6.8,4
tt0074026,6.9,1
tt0165592,7.7,6
tt0075552,7.4,1
tt0165592,7.7,6
tt0762803,6.8,3
tt0762803,6.8,3
tt0165592,7.7,7
tt0074054,6.9,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0165592,7.7,6
tt0165593,7.7,11
tt0169416,7.4,1
tt1049986,7,3
tt0165592,7.7,7
tt0806910,7.2,1
tt0165592,7.7,8
tt0958967,7.7,1
tt1294801,8.3,1
tt0076975,6.4,1
tt0165593,7.7,12
tt0167732,6.4,1
tt1466074,8.2,6
tt1466074,8.2,7
tt1466074,8.2,7
tt0165592,7.7,8
tt0958967,7.7,1
tt0077008,6.6,1
tt0165593,7.7,12
tt0077031,7,1
tt0075519,8.2,1
tt0159876,7.9,0
tt0165592,7.7,7
tt0806901,6.5,7
tt0075532,7.8,1
