parentTconst,seasonNumber
tt0806910,1
tt0985040,3
tt1729107,1
tt0297626,2
tt0297626,3
tt0176357,4
tt0147770,1
tt0088495,1
tt0297626,1
tt0088507,1
tt0159876,0
tt0159876,0
tt0297626,2
tt0159876,13
tt0088558,1
tt0167732,1
tt0297626,2
tt0078657,6
tt0088568,1
tt0159876,15
tt0088571,1
tt0176357,4
tt0176357,0
tt2286153,1
tt0167732,1
tt0297626,2
tt0806910,1
tt0806901,8
tt0088606,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt3469694,1
tt0176357,4
tt0297626,2
tt0248656,1
tt0176357,4
tt1287866,0
tt0080231,1
tt0167732,1
tt0176357,6
tt0046593,31
tt0820333,2
tt0083486,5
tt0190210,1
tt0046593,30
tt0088622,1
tt0297626,3
tt0090410,1
tt0090481,1
tt0364151,2
tt1686687,0
tt0297626,3
tt0046593,30
tt0820333,2
tt0046593,30
tt0167732,1
tt0090445,1
tt0046593,30
tt0046593,31
tt0297626,2
tt0046593,30
tt0364151,2
tt0090460,1
tt0090466,1
tt0090469,1
tt0884889,1
tt1155386,1
tt0046593,31
tt0985040,4
tt0046593,31
tt0167732,1
tt0806901,18
tt0046593,30
tt0297626,3
tt0364151,2
tt0297626,3
tt0090498,1
tt0092434,1
tt0046593,30
tt0806910,1
tt0176357,5
tt0176357,5
tt0176357,5
tt2013869,1
tt0974356,0
tt1087545,1
tt0046593,31
tt0176357,5
tt0086791,2
tt1087545,1
tt0806910,1
tt1087545,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0046593,31
tt0077082,7
tt0046593,30
tt0297626,2
tt0346222,1
tt1531715,1
tt0297626,3
tt0884889,0
tt0046593,31
tt0046593,31
tt1049304,2
tt0088621,3
tt0088507,1
tt0088507,0
tt0088507,1
tt0176357,6
tt0046593,31
tt0046593,31
tt0985040,4
tt0200358,23
tt0884889,0
tt0297626,4
tt0167732,1
tt0167732,1
tt0297626,3
tt1570506,1
tt0167606,1
tt0167606,1
tt0297626,3
tt0094477,1
tt0176357,6
tt0092374,1
tt0297626,6
tt0092381,1
tt0159876,0
tt0346222,1
tt0092389,1
tt0121027,23
tt0046593,31
tt0167732,1
tt0090481,2
tt0167732,1
tt0159876,0
tt0167732,0
tt0176357,6
tt0297626,3
tt0318224,23
tt0094416,1
tt0083470,5
tt0046593,32
tt1049304,2
tt1686687,0
tt0974356,0
tt0846838,1
tt0163492,2
tt0176357,8
tt0092455,1
tt0176357,7
tt0176357,7
tt0297626,4
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0364151,2
tt0167732,0
tt1049302,0
tt1570506,1
tt0297626,4
tt0297626,3
tt0176357,6
tt0092480,1
tt0092484,1
tt0046593,31
tt0046593,31
tt0884889,0
tt0889258,1
tt0159876,0
tt0075471,11
tt0046593,33
tt0094414,1
tt0884889,0
tt0159876,0
tt0176357,7
tt0882736,1
tt0094433,1
tt0174386,0
tt0046593,33
tt0297626,5
tt0092337,1
tt0092337,1
tt0092337,1
tt0092337,1
tt0092337,1
tt0092337,1
tt0092337,1
tt0092337,1
tt0092337,1
tt0092337,1
tt0174386,0
tt1570506,1
tt0088507,1
tt0088507,1
tt0088507,0
tt0088507,1
tt0088507,0
tt0088507,0
tt0088507,0
tt0088507,0
tt0046593,32
tt0174386,0
tt0094416,2
tt0297626,5
tt0297626,5
tt0094999,1
tt0166458,2
tt0809273,0
tt0809273,0
tt0809273,0
tt0094475,1
tt0094482,1
tt0176357,7
tt0046593,32
tt1155386,1
tt0159156,0
tt1049304,4
tt0174386,0
tt3782882,0
tt0083402,4
tt0095670,1
tt0095670,1
tt0095670,1
tt0095670,1
tt0106078,1
tt1634348,1
tt0166458,2
tt1570506,1
tt0297625,2
tt0094524,1
tt0297626,7
tt0199184,0
tt0046593,32
tt0166458,2
tt0176357,8
tt0297626,6
tt1049304,3
tt0094560,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0094416,1
tt0176357,7
tt1686687,0
tt0313144,0
tt0158415,1
tt0158415,1
tt0158415,1
tt1634348,1
tt0297626,5
tt0820333,4
